state,totalVotes,Buttigieg,Sanders,Warren,Biden,Klobuchar,Steyer
New Hampshire,213,40,91,19,13,33,4
New Hampshire,181,29,69,19,10,36,2
New Hampshire,0,0,0,0,0,0,0
New Hampshire,783,183,223,41,65,148,44
New Hampshire,497,113,164,45,16,106,16
New Hampshire,880,217,170,72,124,202,40
New Hampshire,3463,1005,589,306,305,893,82
New Hampshire,643,138,179,61,37,135,27
New Hampshire,0,0,0,0,0,0,0
New Hampshire,0,0,0,0,0,0,0
New Hampshire,1406,410,277,113,177,285,48
New Hampshire,1145,319,253,85,73,271,46
New Hampshire,776,151,251,68,58,143,43
New Hampshire,2153,553,587,207,147,404,85
New Hampshire,942,214,219,81,87,220,21
New Hampshire,172,37,52,23,16,29,5
New Hampshire,5040,1302,830,401,451,1385,166
New Hampshire,1199,298,301,60,103,250,49
New Hampshire,301,70,107,23,14,42,17
New Hampshire,63,7,27,4,4,3,1
New Hampshire,1677,344,479,126,183,249,84
New Hampshire,747,143,291,94,44,91,17
New Hampshire,625,149,187,45,47,113,24
New Hampshire,2343,657,405,247,184,600,69
New Hampshire,427,102,109,45,34,76,17
New Hampshire,1045,323,205,100,86,203,37
New Hampshire,243,52,69,30,16,43,9
New Hampshire,555,115,162,48,40,117,27
New Hampshire,154,43,38,9,14,36,6
New Hampshire,1345,380,291,152,116,217,47
New Hampshire,818,190,239,92,46,153,31
New Hampshire,766,204,218,86,37,119,24
New Hampshire,771,158,162,52,68,189,45
New Hampshire,802,182,172,95,73,192,21
New Hampshire,185,40,51,26,25,29,9
New Hampshire,245,50,53,16,26,64,12
New Hampshire,823,162,320,63,69,123,26
New Hampshire,0,0,0,0,0,0,0
New Hampshire,1002,311,217,49,78,218,29
New Hampshire,1006,240,288,120,51,215,25
New Hampshire,0,0,0,0,0,0,0
New Hampshire,2062,516,674,161,158,260,69
New Hampshire,48,11,13,5,6,7,0
New Hampshire,0,0,0,0,0,0,0
New Hampshire,86,14,27,6,9,23,3
New Hampshire,11538,2531,3066,1220,947,2573,424
New Hampshire,2169,534,587,172,188,379,76
New Hampshire,496,128,123,53,38,108,10
New Hampshire,125,41,30,8,6,21,5
New Hampshire,158,49,48,3,10,28,6
New Hampshire,216,48,65,12,13,32,13
New Hampshire,747,213,201,26,52,137,39
New Hampshire,947,228,214,67,63,243,55
New Hampshire,0,0,0,0,0,0,0
New Hampshire,5517,1436,1585,420,428,884,216
New Hampshire,4,1,1,0,0,0,0
New Hampshire,0,0,0,0,0,0,0
New Hampshire,8849,1958,2802,962,658,1462,269
New Hampshire,523,101,140,85,36,92,7
New Hampshire,53,8,16,3,8,11,1
New Hampshire,631,145,126,46,50,169,33
New Hampshire,4914,1119,1660,611,278,754,101
New Hampshire,534,139,111,49,38,117,23
New Hampshire,0,0,0,0,0,0,0
New Hampshire,134,26,45,10,12,31,4
New Hampshire,253,58,61,15,23,55,9
New Hampshire,27,5,8,0,5,5,2
New Hampshire,0,0,0,0,0,0,0
New Hampshire,1429,363,383,115,121,250,73
New Hampshire,762,178,167,62,68,179,33
New Hampshire,0,0,0,0,0,0,0
New Hampshire,4954,1309,983,576,387,1156,156
New Hampshire,950,189,294,77,82,139,50
New Hampshire,470,72,146,50,38,107,24
New Hampshire,440,83,108,46,38,108,12
New Hampshire,450,78,126,74,44,93,10
New Hampshire,1296,342,346,93,105,197,63
New Hampshire,0,0,0,0,0,0,0
New Hampshire,824,221,188,42,69,187,40
New Hampshire,1625,431,331,111,184,341,76
New Hampshire,745,158,209,56,68,144,27
New Hampshire,194,39,72,10,7,33,5
New Hampshire,3605,926,812,281,291,756,171
New Hampshire,599,133,169,45,77,107,28
New Hampshire,135,30,38,10,13,25,2
New Hampshire,230,48,66,21,24,33,3
New Hampshire,1192,338,213,145,104,292,28
New Hampshire,0,0,0,0,0,0,0
New Hampshire,1194,323,222,99,113,271,48
New Hampshire,331,67,112,22,26,44,23
New Hampshire,94,19,30,4,5,17,7
New Hampshire,1619,476,335,118,148,346,64
New Hampshire,4112,1048,782,295,486,898,187
New Hampshire,530,132,95,60,55,120,17
New Hampshire,0,0,0,0,0,0,0
New Hampshire,5404,1397,1078,973,393,1064,37
New Hampshire,467,82,127,46,34,133,22
New Hampshire,18,0,2,4,1,6,1
New Hampshire,0,0,0,0,0,0,0
New Hampshire,155,36,16,15,12,53,8
New Hampshire,1156,236,319,107,92,250,45
New Hampshire,172,38,38,11,17,35,12
New Hampshire,1016,245,272,78,73,187,48
New Hampshire,696,122,271,49,66,92,36
New Hampshire,633,162,140,70,58,121,21
New Hampshire,2268,650,380,239,196,558,40
New Hampshire,2736,654,678,166,234,664,89
New Hampshire,2006,518,417,235,142,506,56
New Hampshire,4243,1174,968,310,401,771,177
New Hampshire,440,97,116,46,36,113,7
New Hampshire,1175,264,331,102,100,217,46
New Hampshire,169,43,40,10,19,25,5
New Hampshire,6855,1470,2349,746,400,1150,192
New Hampshire,0,0,0,0,0,0,0
New Hampshire,1121,285,296,82,86,227,45
New Hampshire,2748,674,651,206,283,562,96
New Hampshire,516,96,158,38,46,111,13
New Hampshire,87,14,28,10,7,17,1
New Hampshire,0,0,0,0,0,0,0
New Hampshire,4257,1075,1078,736,264,710,78
New Hampshire,1482,346,371,177,114,341,42
New Hampshire,207,35,60,16,12,44,7
New Hampshire,291,50,81,31,36,50,14
New Hampshire,0,0,0,0,0,0,0
New Hampshire,1612,435,300,106,158,352,87
New Hampshire,1004,225,361,100,59,152,22
New Hampshire,4914,1381,1011,408,427,1031,229
New Hampshire,1066,265,244,55,116,205,50
New Hampshire,124,19,41,13,10,27,0
New Hampshire,810,191,175,152,53,190,6
New Hampshire,0,0,0,0,0,0,0
New Hampshire,637,165,158,63,48,129,13
New Hampshire,689,188,142,54,64,160,18
New Hampshire,20483,4205,6375,1771,1980,3638,759
New Hampshire,630,153,158,71,43,122,25
New Hampshire,0,0,0,0,0,0,0
New Hampshire,273,71,79,23,17,47,13
New Hampshire,1416,371,244,124,146,362,55
New Hampshire,5662,1502,1254,495,406,1287,249
New Hampshire,250,57,57,20,28,42,24
New Hampshire,0,0,0,0,0,0,0
New Hampshire,3393,967,898,276,248,587,157
New Hampshire,5,1,1,0,1,2,0
New Hampshire,696,156,195,39,40,145,33
New Hampshire,166,43,44,44,7,14,3
New Hampshire,0,0,0,0,0,0,0
New Hampshire,988,285,190,63,104,243,33
New Hampshire,17691,4296,4863,1546,1744,3178,627
New Hampshire,228,28,94,24,10,44,6
New Hampshire,1251,295,300,109,83,294,47
New Hampshire,603,153,118,54,38,146,27
New Hampshire,0,0,0,0,0,0,0
New Hampshire,482,96,115,37,42,134,22
New Hampshire,545,146,115,47,53,132,17
